Mar 19 15:33:39 cluster00 ipfs-cluster-service[16436]: 2024-03-19T15:33:39.764+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreicbmpg7rdsdtiwt7uaj3ajhe4m23aoajyytym7ebc2muzrxdmpazi ShardSize:393216, DataShards:1, ParityShards:4, RSTime:5.005µs, OtherTime:173.694927ms, TotalDataSize:1132, TotalDataAndParitySize:5660, RSRate:2.2617382617382616e+08, ToTalDataRate:6516.9836046969995
Mar 19 15:33:40 cluster00 ipfs-cluster-service[16436]: 2024-03-19T15:33:40.011+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreiekk2faulfelpt3se6pawckb4c67lyaa5fg5ltsyp5c2nej6rkcue ShardSize:393216, DataShards:1, ParityShards:4, RSTime:410.589µs, OtherTime:219.802147ms, TotalDataSize:2156, TotalDataAndParitySize:10780, RSRate:5.250993085542964e+06, ToTalDataRate:9790.52535259719
Mar 19 15:33:40 cluster00 ipfs-cluster-service[16436]: 2024-03-19T15:33:40.236+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreignrrig4ohln36iu4xoyv4scrjgx57k432s3le7drq4n3eqtpct5q ShardSize:393216, DataShards:1, ParityShards:4, RSTime:9.032µs, OtherTime:199.204678ms, TotalDataSize:4204, TotalDataAndParitySize:21020, RSRate:4.654561558901683e+08, ToTalDataRate:21102.954447756867
Mar 19 15:33:40 cluster00 ipfs-cluster-service[16436]: 2024-03-19T15:33:40.458+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreidzstiej6o5vmfcvovj73yyzk2x3txq7njmrcgjyzg2zkpnp4ceey ShardSize:393216, DataShards:1, ParityShards:4, RSTime:20.836µs, OtherTime:202.989048ms, TotalDataSize:8300, TotalDataAndParitySize:41500, RSRate:3.9834901132655025e+08, ToTalDataRate:40884.69877538111
Mar 19 15:33:40 cluster00 ipfs-cluster-service[16436]: 2024-03-19T15:33:40.676+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreignrrqqf4h6ra2bh4wvgw5det4evapygg4uq2tiypkymxiheqnhhi ShardSize:393216, DataShards:1, ParityShards:4, RSTime:21.439µs, OtherTime:200.163163ms, TotalDataSize:16493, TotalDataAndParitySize:82465, RSRate:7.692989411819582e+08, ToTalDataRate:82388.90725303923
Mar 19 15:33:40 cluster00 ipfs-cluster-service[16436]: 2024-03-19T15:33:40.882+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreifgazfpu55uuoip4wnou73idmbyd224mdoqul7xt25t4mxuwyjtwm ShardSize:393216, DataShards:1, ParityShards:4, RSTime:26.996µs, OtherTime:186.353456ms, TotalDataSize:32877, TotalDataAndParitySize:164385, RSRate:1.2178470884575493e+09, ToTalDataRate:176397.1720244891
Mar 19 15:33:41 cluster00 ipfs-cluster-service[16436]: 2024-03-19T15:33:41.135+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreibwugvg37cd2gkcciohfvmbbzhd4wkwwphzptxisx5wxkin662ogm ShardSize:393216, DataShards:1, ParityShards:4, RSTime:42.059µs, OtherTime:230.51186ms, TotalDataSize:65645, TotalDataAndParitySize:328225, RSRate:1.5607836610475762e+09, ToTalDataRate:284727.1654473589
Mar 19 15:33:41 cluster00 ipfs-cluster-service[16436]: 2024-03-19T15:33:41.417+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreib6figsev6gozw7pn3v6wx2wugzkvj4eu3aoegjgd43rpar2dv3wy ShardSize:393216, DataShards:1, ParityShards:4, RSTime:130.248µs, OtherTime:262.033603ms, TotalDataSize:131181, TotalDataAndParitySize:655905, RSRate:1.0071632577851484e+09, ToTalDataRate:500377.67393479595
Mar 19 15:33:41 cluster00 ipfs-cluster-service[16436]: 2024-03-19T15:33:41.716+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreig2b4g6vlaqc42pcjsyo3c4qexhtbhhvggikkr67bzgj4cxxvzdj4 ShardSize:393216, DataShards:1, ParityShards:4, RSTime:157.426µs, OtherTime:276.263296ms, TotalDataSize:262253, TotalDataAndParitySize:1311265, RSRate:1.6658811123956652e+09, ToTalDataRate:948745.508333801
Mar 19 15:33:42 cluster00 ipfs-cluster-service[16436]: 2024-03-19T15:33:42.094+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmNQisYkeZSoYGqrGuLosjBRUEv4F7YsXXcjLnW8J7QNyz ShardSize:393216, DataShards:2, ParityShards:4, RSTime:351.047µs, OtherTime:354.640824ms, TotalDataSize:524490, TotalDataAndParitySize:1573874, RSRate:1.4940734431571841e+09, ToTalDataRate:1.4774702560974923e+06
Mar 19 15:33:42 cluster00 ipfs-cluster-service[16436]: 2024-03-19T15:33:42.569+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmX6FRapM3jxBwdAsjhSFs5V5RQrsfark7dZRuUr9QbTQ5 ShardSize:393216, DataShards:4, ParityShards:4, RSTime:715.287µs, OtherTime:447.205731ms, TotalDataSize:1048878, TotalDataAndParitySize:2098662, RSRate:1.4663736374350436e+09, ToTalDataRate:2.3416579549946943e+06
Mar 19 15:33:43 cluster00 ipfs-cluster-service[16436]: 2024-03-19T15:33:43.228+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmeAoMJTgCorkRHU75bse2HLiyq9abLwVEJsNYjgKSuSW8 ShardSize:393216, DataShards:8, ParityShards:4, RSTime:373.789µs, OtherTime:636.082722ms, TotalDataSize:2097656, TotalDataAndParitySize:3148248, RSRate:5.611871938446556e+09, ToTalDataRate:3.2958345998766897e+06
Mar 19 15:33:44 cluster00 ipfs-cluster-service[16436]: 2024-03-19T15:33:44.021+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmcpMoySTjC6dVpX5b5BsUM8M8FgUx3K6RQUNW1GFFAhEa ShardSize:655360, DataShards:8, ParityShards:4, RSTime:723.368µs, OtherTime:763.591489ms, TotalDataSize:4195208, TotalDataAndParitySize:6295976, RSRate:5.799548777385785e+09, ToTalDataRate:5.488844139851217e+06
Mar 19 15:33:45 cluster00 ipfs-cluster-service[16436]: 2024-03-19T15:33:45.038+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmUZmMoBQBumkwwLEnwj5g2BYJDMY4g61oJcXkJJvnDqFf ShardSize:1179648, DataShards:8, ParityShards:4, RSTime:1.448525ms, OtherTime:990.122711ms, TotalDataSize:8390313, TotalDataAndParitySize:12591437, RSRate:5.792314941060734e+09, ToTalDataRate:8.461633673281591e+06
Mar 19 15:33:46 cluster00 ipfs-cluster-service[16436]: 2024-03-19T15:33:46.615+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmYbzLB7WrR5vN5jibMM4EnsaW6aFZr6Jer5U3k6atieQV ShardSize:1966080, DataShards:10, ParityShards:4, RSTime:38.103115ms, OtherTime:1.522267437s, TotalDataSize:16780521, TotalDataAndParitySize:24120553, RSRate:4.4039761578548104e+08, ToTalDataRate:1.0754188794231843e+07
Mar 19 15:33:49 cluster00 ipfs-cluster-service[16436]: 2024-03-19T15:33:49.522+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmRUkdgwkTnNfJor6F2xbrLzvghnKUDeTDUMUiMxXapLXW ShardSize:3538944, DataShards:10, ParityShards:4, RSTime:12.495624ms, OtherTime:2.868520837s, TotalDataSize:33560937, TotalDataAndParitySize:47192425, RSRate:2.6858152101887827e+09, ToTalDataRate:1.1648991293984486e+07
Mar 19 15:33:56 cluster00 ipfs-cluster-service[16436]: 2024-03-19T15:33:56.769+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmQK34tuPb4m3XR5bQcV9Q6rSDh7tzebDACpyfx7QVyyN1 ShardSize:6946816, DataShards:10, ParityShards:4, RSTime:133.185036ms, OtherTime:7.092982522s, TotalDataSize:67121888, TotalDataAndParitySize:94419704, RSRate:5.039746957758828e+08, ToTalDataRate:9.28872548634576e+06
Mar 19 15:34:11 cluster00 ipfs-cluster-service[16436]: 2024-03-19T15:34:11.016+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST Qme5kUevnPz776mrDap2TyPGTnYNmaQkHiGy71h336toLb ShardSize:13762560, DataShards:10, ParityShards:4, RSTime:192.185181ms, OtherTime:14.030372053s, TotalDataSize:134243612, TotalDataAndParitySize:188804404, RSRate:6.98511775473469e+08, ToTalDataRate:9.438781592899183e+06
